Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~doan.PrjPcb|ReportField=ProjectFullPath~F:\Altium\doan\doan.PrjPcb|ReportField=Title~Bill of Materials For Project [doan.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~6:58:16 PM|ReportField=ReportDate~6/5/2020|ReportField=ReportDateTime~6/5/2020 6:58:16 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~22|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~6/5/2020|ReportField=CurrentTime~5:55:18 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~F:\Altium\doan\Sheet1.SchDoc|ReportField=DocumentName~Sheet1.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~6/5/2020|ReportField=Organization~|ReportField=ProjectName~doan.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~doan.PrjPcb|ReportField=DataSourceFullPath~F:\Altium\doan\doan.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Module Sim800a mini|||CON6|Module Sim800a mini|1
2|Servo|||CON3-2|Servo|1
3|1000uF|Cap P  0,1uF < 22uF , 16 - 50V|C1|Cap 10mm|CP1|1
4|Capacitor Ceramic|Capacitor|C7, C8|Tu-ceramic|CapDecop|2
5|20MHz|Crystal Oscillator|Crystal|XTAL|XTAL|1
6|Header 2_1|Header, 2-Pin|JP1|HED2|Header 2_1|1
7|Component_1||Keypad 4x4|CON8|Component_1|1
8|LCD 16x2A|LCD dipslay 16 char, 2 line|LCD|LCD16X2|LCD16x2A|1
9|LED|LED|LED|LED-5mm BLUE|LED|1
10|SPEAKER||LS|speaker|SPEAKER|1
11|PIC16F877A-E/P|Enhanced FLASH Microcontroller, 8K (x14-Bit words) FLASH, 368 Bytes RAM, 40-Pin PDIP, Standard VDD Range, Extended Temperature|PIC|DIP.100/40/W.600/L2.100|PIC16F877A-E/P|1
12|Transistor NPN|Transistor NPN, doc chan tu bung|Q1|BCE|Transistor NPN|1
13|10k|Resistor 1/4W|R1, R2, R3, R4, R5|R1/4W|R|5
14|RESISTOR|Resistor|R6, R7|Res 10mm (1/2W)|RESISTOR|2
15|SW-2P-S|Switch Small 2 Pin|SW|SW-BIG|SW-2PIN-SMALL|1
16|10K|Var Resistor|VR|VR_3362P|VR1|1
